epoch,train_loss,val_loss,acc,precision,recall,f1,auc,lr
1,0.662041,0.553415,0.831283,0.806452,0.842697,0.824176,0.906863,1.000000e-04
2,0.513376,0.473869,0.843585,0.785256,0.917603,0.846287,0.919029,1.000000e-04
3,0.458163,0.428813,0.855888,0.803279,0.917603,0.856643,0.930166,1.000000e-04
4,0.424135,0.396326,0.861160,0.797468,0.943820,0.864494,0.939492,1.000000e-04
5,0.401039,0.366374,0.875220,0.818182,0.943820,0.876522,0.946301,6.000000e-05
6,0.377346,0.358291,0.878735,0.823529,0.943820,0.879581,0.948682,6.000000e-05
7,0.372301,0.344008,0.878735,0.821429,0.947566,0.880000,0.949798,6.000000e-05
8,0.361176,0.338069,0.884007,0.833887,0.940075,0.883803,0.951038,6.000000e-05
9,0.352004,0.329446,0.892794,0.847973,0.940075,0.891652,0.953345,6.000000e-05
10,0.353464,0.318071,0.876977,0.816720,0.951311,0.878893,0.953754,3.600000e-05
11,0.348805,0.314215,0.885764,0.832237,0.947566,0.886165,0.955131,3.600000e-05
12,0.344984,0.311363,0.894552,0.846154,0.947566,0.893993,0.955788,3.600000e-05
13,0.337916,0.302350,0.896309,0.848993,0.947566,0.895575,0.956309,3.600000e-05
14,0.339537,0.307055,0.899824,0.854730,0.947566,0.898757,0.957115,3.600000e-05
15,0.328610,0.303049,0.901582,0.860068,0.943820,0.900000,0.957499,2.160000e-05
16,0.332495,0.299869,0.896309,0.848993,0.947566,0.895575,0.957326,2.160000e-05
17,0.332319,0.299425,0.901582,0.860068,0.943820,0.900000,0.958107,2.160000e-05
18,0.326374,0.298076,0.898067,0.851852,0.947566,0.897163,0.957847,2.160000e-05
19,0.324934,0.294380,0.899824,0.854730,0.947566,0.898757,0.958392,2.160000e-05
20,0.324917,0.294717,0.903339,0.860544,0.947566,0.901961,0.958653,1.296000e-05
21,0.320473,0.290674,0.898067,0.851852,0.947566,0.897163,0.958640,1.296000e-05
22,0.323266,0.292133,0.898067,0.851852,0.947566,0.897163,0.958727,1.296000e-05
23,0.328215,0.288179,0.901582,0.857627,0.947566,0.900356,0.959198,1.296000e-05
24,0.319525,0.287986,0.898067,0.851852,0.947566,0.897163,0.959161,1.296000e-05
25,0.317786,0.287463,0.894552,0.846154,0.947566,0.893993,0.959174,7.776000e-06
26,0.319534,0.288033,0.901582,0.857627,0.947566,0.900356,0.959422,7.776000e-06
27,0.315817,0.284569,0.892794,0.843333,0.947566,0.892416,0.959174,7.776000e-06
28,0.316535,0.288365,0.903339,0.860544,0.947566,0.901961,0.959608,7.776000e-06
29,0.317789,0.286146,0.894552,0.846154,0.947566,0.893993,0.959409,7.776000e-06
30,0.313354,0.285324,0.901582,0.857627,0.947566,0.900356,0.959818,4.665600e-06
31,0.318255,0.285960,0.898067,0.851852,0.947566,0.897163,0.959756,4.665600e-06
32,0.319151,0.286277,0.901582,0.857627,0.947566,0.900356,0.959905,4.665600e-06
33,0.316574,0.285499,0.896309,0.848993,0.947566,0.895575,0.959806,4.665600e-06
34,0.313825,0.283835,0.896309,0.848993,0.947566,0.895575,0.959707,4.665600e-06
35,0.309450,0.284158,0.898067,0.851852,0.947566,0.897163,0.959967,2.799360e-06
36,0.316504,0.282456,0.901582,0.857627,0.947566,0.900356,0.960178,2.799360e-06
37,0.316070,0.286017,0.906854,0.871528,0.940075,0.904505,0.960327,2.799360e-06
38,0.316546,0.286103,0.887522,0.834983,0.947566,0.887719,0.959769,2.799360e-06
39,0.307926,0.282633,0.901582,0.857627,0.947566,0.900356,0.960141,2.799360e-06
40,0.313134,0.280843,0.903339,0.860544,0.947566,0.901961,0.960352,1.679616e-06
