epoch,train_loss,val_loss,acc,precision,recall,f1,auc,lr
1,0.537848,0.406820,0.845343,0.767164,0.962547,0.853821,0.945693,1.000000e-04
2,0.374426,0.311147,0.898067,0.859107,0.936330,0.896057,0.960277,1.000000e-04
3,0.320173,0.262346,0.920914,0.902174,0.932584,0.917127,0.968338,1.000000e-04
4,0.280284,0.230175,0.927944,0.915441,0.932584,0.923933,0.974279,1.000000e-04
5,0.258039,0.219892,0.933216,0.932075,0.925094,0.928571,0.978384,6.000000e-05
6,0.250943,0.201055,0.940246,0.939623,0.932584,0.936090,0.980331,6.000000e-05
7,0.229768,0.197444,0.938489,0.932836,0.936330,0.934579,0.981174,6.000000e-05
8,0.233810,0.190045,0.938489,0.932836,0.936330,0.934579,0.982662,6.000000e-05
9,0.227328,0.205216,0.934974,0.952756,0.906367,0.928983,0.982675,6.000000e-05
10,0.221341,0.183541,0.942004,0.943182,0.932584,0.937853,0.982972,3.600000e-05
11,0.220419,0.186841,0.943761,0.953668,0.925094,0.939163,0.983220,3.600000e-05
12,0.219814,0.177638,0.943761,0.943396,0.936330,0.939850,0.984113,3.600000e-05
13,0.218769,0.177897,0.942004,0.946565,0.928839,0.937618,0.984944,3.600000e-05
14,0.207319,0.178598,0.943761,0.950192,0.928839,0.939394,0.985329,3.600000e-05
15,0.204692,0.173279,0.945518,0.946970,0.936330,0.941620,0.985056,2.160000e-05
16,0.205722,0.175354,0.945518,0.953846,0.928839,0.941176,0.984845,2.160000e-05
17,0.193764,0.175221,0.942004,0.950000,0.925094,0.937381,0.985279,2.160000e-05
18,0.205802,0.184972,0.940246,0.956863,0.913858,0.934866,0.985788,2.160000e-05
19,0.200726,0.180860,0.942004,0.957031,0.917603,0.936902,0.985763,2.160000e-05
20,0.199270,0.178470,0.943761,0.957198,0.921348,0.938931,0.986259,1.296000e-05
21,0.213551,0.175287,0.943761,0.953668,0.925094,0.939163,0.985862,1.296000e-05
22,0.201733,0.168534,0.942004,0.950000,0.925094,0.937381,0.986358,1.296000e-05
23,0.195314,0.178300,0.942004,0.957031,0.917603,0.936902,0.986321,1.296000e-05
24,0.201771,0.161373,0.945518,0.940299,0.943820,0.942056,0.987102,1.296000e-05
25,0.199893,0.172580,0.945518,0.957364,0.925094,0.940952,0.986557,7.776000e-06
26,0.196978,0.166201,0.942004,0.950000,0.925094,0.937381,0.986581,7.776000e-06
27,0.200861,0.169216,0.942004,0.950000,0.925094,0.937381,0.986457,7.776000e-06
28,0.205271,0.162747,0.949033,0.947368,0.943820,0.945591,0.987102,7.776000e-06
29,0.195600,0.168079,0.943761,0.953668,0.925094,0.939163,0.986953,7.776000e-06
30,0.193535,0.177142,0.943761,0.957198,0.921348,0.938931,0.986805,4.665600e-06
31,0.191231,0.173589,0.945518,0.957364,0.925094,0.940952,0.986619,4.665600e-06
32,0.197363,0.169539,0.943761,0.953668,0.925094,0.939163,0.986780,4.665600e-06
33,0.204006,0.171764,0.942004,0.953488,0.921348,0.937143,0.987015,4.665600e-06
34,0.202292,0.173480,0.945518,0.957364,0.925094,0.940952,0.986829,4.665600e-06
35,0.195877,0.161820,0.949033,0.947368,0.943820,0.945591,0.987053,2.799360e-06
36,0.193514,0.164869,0.942004,0.946565,0.928839,0.937618,0.986718,2.799360e-06
37,0.196043,0.167108,0.942004,0.950000,0.925094,0.937381,0.986606,2.799360e-06
38,0.190291,0.178909,0.940246,0.956863,0.913858,0.934866,0.986420,2.799360e-06
39,0.201173,0.170911,0.945518,0.957364,0.925094,0.940952,0.986656,2.799360e-06
40,0.198083,0.169097,0.945518,0.957364,0.925094,0.940952,0.986941,1.679616e-06
